pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_difference,mse_ratio,log_mse_ratio,excess_comparison,excess_baseline,excess_difference,mse_sign
heat,0.1,100,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.5912239362592118e-05,9.41819739419536e-08,1.5818057388650164e-05,168.95206902755274,5.129615059475089,29.740482151468463,0.1712420869376211,29.56924006453084,higher
heat,0.1,101,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.3254776067839202e-06,2.280223061756903e-08,1.3026753761663512e-06,58.12929572612273,4.0626697661422355,2.136860743100358,0.0338233773580879,2.1030373657422703,higher
heat,0.1,102,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.1342272301817502e-05,6.794861306946842e-08,1.1274323688748034e-05,166.92426510930454,5.117540207213975,16.696761853295865,0.0957263134595334,16.60103553983633,higher
heat,0.1,103,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,3.875087053017978e-06,8.517339955549376e-08,3.7899136534624844e-06,45.49644693344909,3.817634233533026,6.405505168082128,0.1372212313484544,6.268283936733674,higher
heat,0.1,104,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.1602951985878462e-06,7.440260857416447e-08,1.0858925900136818e-06,15.594818794979005,2.74693873056161,1.8610855118710772,0.1150691674800774,1.7460163443909997,higher
heat,0.1,105,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.0514000720718286e-05,8.52225642833382e-08,1.0428778156434948e-05,123.37109085057031,4.815196812149902,16.221690596371438,0.1280943234081474,16.09359627296329,higher
heat,0.1,106,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,2.048617949412801e-05,7.791704925708133e-08,2.0408262444870928e-05,262.9229377839429,5.57186097701294,38.77793588709108,0.1431251800355646,38.63481070705552,higher
heat,0.1,107,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,2.0994937628415755e-06,2.738574966798524e-08,2.0721080131735903e-06,76.66373162301802,4.3394287363442405,3.8745329902576553,0.0476195508823888,3.8269134393752666,higher
heat,0.1,108,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,2.9544574402962095e-05,9.311486116880818e-08,2.9451459541793287e-05,317.2917194109397,5.759821601214074,41.26821750368734,0.1250923366535026,41.14312516703384,higher
heat,0.1,109,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,4.773740741370602e-06,7.133854401653039e-08,4.702402197354072e-06,66.91671111572508,4.203448728403498,7.954218666446545,0.1146124837867186,7.839606182659827,higher
heat,0.1,110,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,1.077250843195543e-06,3.814742699503881e-08,1.0391034162005042e-06,28.239148169433363,3.340709248198193,2.173865139563399,0.0743193218812669,2.099545817682132,higher
heat,0.1,111,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,5.584911271228066e-06,6.84406953332939e-08,5.516470575894772e-06,81.60219945210302,4.4018562156766965,8.447087978500445,0.0995737936102589,8.347514184890185,higher
heat,0.1,112,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,3.379773609424319e-06,4.6949918064420615e-08,3.3328236913598985e-06,71.98678397663839,4.276482546287591,6.554183950417977,0.0875278118218362,6.466656138596141,higher
