pde,r,seed,target,substitution,mse,mse_original,mse_persistence,excess,ratio,skill
heat,0.1,101,all,random,5.395925115614375e-07,2.1845021785406316e-09,5.838582524120284e-07,0.9238993665558703,247.0093721407571,0.99625850594812
heat,0.1,101,all,identity,1.3379314012240684e-06,2.1845021785406316e-09,5.838582524120284e-07,2.2963850414589793,612.4651256323675,0.99625850594812
heat,0.1,101,all,frozen,1.2987445929812935e-07,2.1845021785406316e-09,5.838582524120284e-07,0.21952160823542943,59.45265725708394,0.99625850594812
heat,0.1,101,all,original,2.1845021785406316e-09,2.1845021785406316e-09,5.838582524120284e-07,0.0,1.0,0.99625850594812
heat,0.1,101,layer0,stencil,3.773428618458752e-07,2.1845021785406316e-09,5.838582524120284e-07,0.6449635375788292,172.73631747896042,0.99625850594812
heat,0.1,101,layer0,acf,7.755270525766633e-08,2.1845021785406316e-09,5.838582524120284e-07,0.12957126404427294,35.501317425774246,0.99625850594812
heat,0.1,101,layer0,xcorr,7.75439212841178e-08,2.1845021785406316e-09,5.838582524120284e-07,0.1295561628409867,35.49729638444281,0.99625850594812
heat,0.1,101,layer0,uniform,8.560750164310349e-08,2.1845021785406316e-09,5.838582524120284e-07,0.14341888288937968,39.18856318115189,0.99625850594812
heat,0.1,101,layer0,random,8.282099683842858e-08,2.1845021785406316e-09,5.838582524120284e-07,0.1386283885554745,37.91298431835742,0.99625850594812
heat,0.1,101,layer0,identity,3.8773357946553233e-07,2.1845021785406316e-09,5.838582524120284e-07,0.6628270179498899,177.49287836579765,0.99625850594812
heat,0.1,101,layer0,frozen,6.015731779385192e-08,2.1845021785406316e-09,5.838582524120284e-07,0.09966551798502271,27.538227420784875,0.99625850594812
heat,0.1,101,layer0,original,2.1845021785406316e-09,2.1845021785406316e-09,5.838582524120284e-07,0.0,1.0,0.99625850594812
heat,0.1,101,layer1,stencil,6.479555838545537e-07,2.1845021785406316e-09,5.838582524120284e-07,1.1101946433319299,296.6147574581152,0.99625850594812
heat,0.1,101,layer1,acf,7.89000257350736e-08,2.1845021785406316e-09,5.838582524120284e-07,0.1318875461128147,36.11808059069238,0.99625850594812
heat,0.1,101,layer1,xcorr,7.888596570415629e-08,2.1845021785406316e-09,5.838582524120284e-07,0.13186337443425492,36.11164432752202,0.99625850594812
heat,0.1,101,layer1,uniform,8.897147038555708e-08,2.1845021785406316e-09,5.838582524120284e-07,0.14920213981150013,40.72848782645525,0.99625850594812
heat,0.1,101,layer1,random,8.320326538857614e-08,2.1845021785406316e-09,5.838582524120284e-07,0.13928557576736794,38.08797546915725,0.99625850594812
heat,0.1,101,layer1,identity,6.623388495441418e-07,2.1845021785406316e-09,5.838582524120284e-07,1.134922019603963,303.1989878749495,0.99625850594812
heat,0.1,101,layer1,frozen,3.092034506213537e-08,2.1845021785406316e-09,5.838582524120284e-07,0.04940199359531004,14.154412554897002,0.99625850594812
heat,0.1,101,layer1,original,2.1845021785406316e-09,2.1845021785406316e-09,5.838582524120284e-07,0.0,1.0,0.99625850594812
heat,0.1,101,layer2,stencil,2.389672748570604e-07,2.1845021785406316e-09,5.838582524120284e-07,0.40707144268324563,109.39209729545966,0.99625850594812
heat,0.1,101,layer2,acf,1.609734978647026e-08,2.1845021785406316e-09,5.838582524120284e-07,0.02391864443314645,7.368887037331398,0.99625850594812
heat,0.1,101,layer2,xcorr,1.60962918480112e-08,2.1845021785406316e-09,5.838582524120284e-07,0.023916825649921945,7.368402744631006,0.99625850594812
heat,0.1,101,layer2,uniform,1.0420939281635677e-08,2.1845021785406316e-09,5.838582524120284e-07,0.014159891347665052,4.77039546309697,0.99625850594812
heat,0.1,101,layer2,random,1.4191512319461363e-08,2.1845021785406316e-09,5.838582524120284e-07,0.020642172929586453,6.496451438167976,0.99625850594812
heat,0.1,101,layer2,identity,2.421721636558516e-07,2.1845021785406316e-09,5.838582524120284e-07,0.4125812130614082,110.85919988307634,0.99625850594812
heat,0.1,101,layer2,frozen,8.453805332847564e-09,2.1845021785406316e-09,5.838582524120284e-07,0.010778040356454785,3.869900161186918,0.99625850594812
heat,0.1,101,layer2,original,2.1845021785406316e-09,2.1845021785406316e-09,5.838582524120284e-07,0.0,1.0,0.99625850594812
heat,0.1,101,layer3,stencil,8.024231030745455e-07,2.1845021785406316e-09,5.838582524120284e-07,1.375751614328107,367.3253846835751,0.99625850594812
heat,0.1,101,layer3,acf,8.996824440998807e-08,2.1845021785406316e-09,5.838582524120284e-07,0.15091577056074898,41.18478127135211,0.99625850594812
heat,0.1,101,layer3,xcorr,8.997119904652351e-08,2.1845021785406316e-09,5.838582524120284e-07,0.15092085010324896,41.18613381591098,0.99625850594812
heat,0.1,101,layer3,uniform,5.793095159134509e-08,2.1845021785406316e-09,5.838582524120284e-07,0.0958380009247924,26.51906331814518,0.99625850594812
heat,0.1,101,layer3,random,7.49204979166862e-08,2.1845021785406316e-09,5.838582524120284e-07,0.1250460343258551,34.29637134385338,0.99625850594812
heat,0.1,101,layer3,identity,8.100193245041964e-07,2.1845021785406316e-09,5.838582524120284e-07,1.3888108617612287,370.80270848955354,0.99625850594812
