circulant_residual,locality,row_sum,row_sum_sd,coef_-1,coef_+0,coef_+1,stencil_rel_error,stencil_corr,pde,r,seed,input_step,r2_linearity,jacobian_spread
0.0005040163800482539,0.9799389243125916,0.9737336039543152,0.0004123399849049747,0.00012504543701652437,0.9908968210220337,0.00012266788689885288,0.29232987380258374,0.9849571205275937,heat,0.1,100,0,0.9999968275165647,0.00285078352317214
0.000579405159701563,0.986357569694519,0.9887802600860596,9.218945342581719e-05,-0.0002888429444283247,0.9936724901199341,-0.00028349627973511815,0.2954919527473605,0.9848042357732264,heat,0.1,101,0,0.9999995774451274,0.0011513520730659366
0.0005335603678999081,0.9817277193069458,0.9761154651641846,0.0001872282737167552,-0.000197637767996639,0.9925949573516846,-0.00018987231305800378,0.29433659897391434,0.9848743365204945,heat,0.1,102,0,0.9999998336756207,0.0020342532079666853
0.00042996172185780164,0.9844690561294556,0.9854176044464111,0.00043603646918199956,0.00014264287892729044,0.9911488890647888,0.00014119451225269586,0.29255009029100426,0.9849156764504422,heat,0.1,103,0,0.9999952938052327,0.006860862951725721
0.0003361101282653295,0.9900634288787842,0.9896404147148132,0.00010136763739865273,-1.6850652173161507e-05,0.9935821890830994,-1.6937858163146302e-05,0.2951199267928415,0.9848695848060913,heat,0.1,104,0,0.9999994664345321,0.0013144939439371228
0.00036994586144060857,0.9822654724121094,0.9769216775894165,6.808720354456455e-05,-8.853348845150322e-06,0.9917371273040771,-8.144801540765911e-06,0.2932917946965116,0.9849148605527658,heat,0.1,105,0,0.9999955168739473,0.0014586569741368294
0.0006065218182385931,0.974677324295044,0.9655293226242065,0.0006552318809553981,-0.00012515649723354727,0.99041348695755,-0.00012084724585292861,0.29212351375437123,0.9849252420241593,heat,0.1,106,0,0.9999982361129391,0.00748523510992527
0.0006607771966378941,0.9843224883079529,0.9890877604484558,0.00023696791322436184,-0.00010643660061759874,0.9916639924049377,-0.00010218725219601765,0.29331893183192215,0.9848395891692455,heat,0.1,107,0,0.9999996872514472,0.0030622510239481926
0.0005601402215513606,0.9670581221580505,0.9558278918266296,0.0010501635260879993,-5.991070065647364e-05,0.989666223526001,-6.246453995117918e-05,0.2913430892036665,0.9849770706812372,heat,0.1,108,0,0.9999933767365098,0.009485837072134018
0.000327828446116244,0.9880329966545105,0.9862673878669739,0.00021771664614789188,5.112171493237838e-05,0.992924690246582,4.9805799790192395e-05,0.29439843596483356,0.9848975779364603,heat,0.1,109,0,0.999992437398824,0.004951785784214735
0.0005529114674033097,0.987073540687561,0.9914005994796753,0.00016397137369494885,-0.00012241424701642245,0.9932184219360352,-0.00012820251868106425,0.2948756142024218,0.9848324385081647,heat,0.1,110,0,0.9999998330536927,0.002453198889270425
0.0003572480845313025,0.9860279560089111,0.9857091307640076,0.00022179997176863253,5.555702591664158e-05,0.9921444654464722,5.670296377502382e-05,0.29362148695618673,0.9848975273896765,heat,0.1,111,0,0.9999999050220316,0.0023136127274483442
0.00048401754622417244,0.9845703840255737,0.9850778579711914,0.00023707404034212232,3.988052412751131e-05,0.9915362000465393,4.7659756091888994e-05,0.29303505160002824,0.9848938171046997,heat,0.1,112,0,0.9999986580410872,0.004638069774955511
0.0003549534446689906,0.9855180382728577,0.9832462072372437,0.00031735081574879587,-1.2910697478218935e-05,0.9922605156898499,-1.2778315067407675e-05,0.2938088111900247,0.9848905315455384,heat,0.1,113,0,0.9999984748135271,0.00597072159871459
0.0004713619625335185,0.9668700098991394,0.9565743207931519,0.000552827725186944,-0.0002975176612380892,0.9911531209945679,-0.00029885786352679133,0.29305657066751045,0.9849203414385108,heat,0.1,114,0,0.9999950228573142,0.005858417600393295
0.0005787154159586567,0.9746924638748169,0.9654784202575684,0.0006357269012369215,3.1073548598214984e-05,0.9898723363876343,3.1410978408530354e-05,0.2914299893166677,0.9849620290557802,heat,0.1,115,0,0.9999639226216002,0.006612194702029228
0.0005448763044690832,0.9702169299125671,0.9603238105773926,0.000265992886852473,-0.00026521258405409753,0.9913022518157959,-0.0002666570071596652,0.29316033537242675,0.9849141550003658,heat,0.1,116,0,0.9999951677966569,0.004815136082470417
0.0004685668357292778,0.9761200547218323,0.9668881297111511,0.000529192911926657,1.566781065776013e-05,0.9910404086112976,1.5614228686899878e-05,0.29259411720311496,0.9849581431385783,heat,0.1,117,0,0.9999963588116056,0.005033181514590979
0.000383509403019605,0.9834305047988892,0.981909990310669,0.00034651040914468467,1.405082548444625e-05,0.9916231036186218,1.56490714289248e-05,0.2931521660451436,0.9848997714406859,heat,0.1,118,0,0.9999975966854158,0.005166296847164631
0.0004223844838192923,0.9824848175048828,0.9805560111999512,0.00016826637147460133,0.0003159523766953498,0.9902920126914978,0.0003202306106686592,0.29152245616720845,0.9849764044029116,heat,0.1,119,0,0.9999977065884323,0.00439610006287694
0.000797525160709977,0.9711645841598511,0.959147572517395,0.00046316251973621547,-0.00041673326632007957,0.9869334101676941,-0.0004142441612202674,0.9832428531161305,0.8144001561378242,heat,0.25,100,0,0.9998632053201032,0.0020779420156031847
0.0008646216910108935,0.9724334478378296,0.969671368598938,0.00021102851314935833,-0.0004213017818983644,0.9854434132575989,-0.00042699152254499495,0.9812849771767529,0.8142275601266245,heat,0.25,101,0,0.9999993339183437,0.001312081702053547
0.0007845029993423486,0.9461710453033447,0.9291157722473145,0.0005695120198652148,-0.0006287639844231308,0.9865723848342896,-0.0006289713201113045,0.9831092777800677,0.8146196758932097,heat,0.25,102,0,0.9999997483196447,0.00227563944645226
0.0010375408479728835,0.960178554058075,0.9455844163894653,0.0012922260211780667,-0.0005849600420333445,0.9839762449264526,-0.0005854663904756308,0.9795986939690394,0.8143956454082779,heat,0.25,103,0,0.9999085761530042,0.01880423165857792
0.0006344007263604355,0.9714754223823547,0.9591327905654907,0.0003201404761057347,-0.0002619804290588945,0.987989068031311,-0.00026070213061757386,0.9844292447815759,0.8145459350246376,heat,0.25,104,0,0.9999997330374389,0.0016555418260395527
0.000526801800668314,0.9625115990638733,0.947700023651123,0.00011972130596404895,-0.00030134274857118726,0.9867571592330933,-0.00029949459712952375,0.9828684957147502,0.8146509928002732,heat,0.25,105,0,0.9998700868385637,0.004066458437591791
0.0010087576511642914,0.9437605142593384,0.9216583967208862,0.0014594177482649684,-0.0003142146160826087,0.9807722568511963,-0.00031694816425442696,0.9750616685877801,0.8149069395877496,heat,0.25,106,0,0.999970891147606,0.022020723670721054
0.0008882109665371717,0.9785059690475464,0.969101071357727,0.0009346373844891787,-0.0001502987724961713,0.9867830872535706,-0.00014378099876921624,0.9826700530750802,0.8144922719392741,heat,0.25,107,0,0.9999819479150883,0.008789898827672005
0.0010566494953529245,0.9537521004676819,0.933861494064331,0.0015190917765721679,-0.0002390879817539826,0.9812697768211365,-0.00024395740183535963,0.9755877465985408,0.8148111011407877,heat,0.25,108,0,0.9999849177970302,0.02417067438364029
