pde,r,seed,layer,head,window_mass,centrality,asymmetry,width,shift,pred_stencil_centrality,pred_stencil_asymmetry,pred_stencil_width,pred_stencil_shift,pred_acf_centrality,pred_acf_asymmetry,pred_acf_width,pred_acf_shift,pred_xcorr_centrality,pred_xcorr_asymmetry,pred_xcorr_width,pred_xcorr_shift,label,entropy
heat,0.1,100,0,0,0.13615493942052126,0.3343800392973344,0.004064494605832839,2.570623522007896,0.00851902489610934,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.999749260908054
heat,0.1,100,0,1,0.23850556276738644,0.331201613323922,-0.0044499456733136395,2.5877667335860135,0.009721258023215384,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9801419843421524
heat,0.1,100,0,2,0.14282864704728127,0.3328324755693762,0.026748225240529035,2.5905167301140906,-0.0005119551443987791,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,ungated,0.9998785681096356
heat,0.1,100,0,3,0.1705396082252264,0.3342851374616718,0.006651338479224837,2.566945420062079,0.06771738778435521,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9975295203547722
heat,0.1,100,1,0,0.042723959777504206,0.33122900505715197,0.0070982715758195845,2.6411966820450776,0.05575656106570309,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9705955666168667
heat,0.1,100,1,1,0.007336824026424438,0.32839142197649,0.017288435661610542,2.7448056027526735,0.11405885026901774,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.926151518186246
heat,0.1,100,1,2,0.14263042621314526,0.33008739558956385,-0.006249958253316964,2.607997635396641,-0.04171694311317464,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9995010236334236
heat,0.1,100,1,3,0.38598689809441566,0.3353568286067733,-0.005826165782708558,2.5292166803965506,-0.026336939874543608,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,acf_or_spectral,0.9156746364220156
heat,0.1,100,2,0,0.010541890282183886,0.33025708645142426,0.0036463581684056646,2.6914081289267786,0.009087954756086924,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.928422891601246
heat,0.1,100,2,1,0.07273721974343061,0.33325691740340874,0.004096436005668057,2.5962830962199033,0.030423568867464446,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.9844706456861068
heat,0.1,100,2,2,0.16357226483523846,0.3353576064068608,0.009358485727816399,2.556920505404431,-0.007237409814212892,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,acf_or_spectral,0.9991547874479868
heat,0.1,100,2,3,0.1598307564854622,0.3329306731774406,-0.0038075914179360386,2.5837996533195806,0.007927362986625053,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.999220123567966
heat,0.1,100,3,0,6.605355065403273e-05,0.3726841898695572,0.11529822103977991,2.4102720364090517,0.34108863651656673,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8166202379125329
heat,0.1,100,3,1,0.00023414907627739012,0.33973443314461554,0.038029533400992264,3.014365336742456,0.04882941918518635,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8983819281091102
heat,0.1,100,3,2,0.0005750256132159848,0.34572415595993816,-0.21604845437491058,2.558162111866749,-0.348104906562613,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.8900599583162228
heat,0.1,100,3,3,9.38174352995702e-05,0.3468973648815996,-0.12997903563941304,2.780599857231789,-0.531565093647312,0.8,0.0,0.4472135954999579,0.0,0.33508783185915475,0.0,2.529912810186482,1.1102230246251565e-16,0.33508518759800804,-1.173854047424885e-12,2.529982149871199,-5.5990767577895895e-12,no_fit,0.7839770912054288
