pde,r,seed,condition,device,device_name,weight_minus,weight_center,weight_plus,initial_minus,initial_center,initial_plus,stencil_minus,stencil_center,stencil_plus,coefficient_l1,coefficient_l2,coefficient_max_abs,initial_coefficient_l2,centrality,asymmetry,target_centrality,target_asymmetry,mse_fitted,mse_fixed,mse_initial,mse_stencil,mse_persistence,skill,excess_initial,excess_stencil,train_rows,statistics_seconds,fit_seconds,total_seconds,label
heat,0.1,100,heat_r0.1,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.10000019929395543,0.7999995099064194,0.10000029079962501,0.2845341735074086,0.26542833370282165,0.45003749278976973,0.1,0.8,0.1,9.801871610343182e-07,6.037170035068949e-07,4.900935806073647e-07,0.6650909516437225,0.7999995099064195,4.5752722676056363e-07,0.8,0.0,2.4104068168039913e-17,2.4104068168039913e-17,1.701478838636451e-05,1.7167932738947293e-17,5.190783653481093e-07,0.9999999999535637,32.77884327874056,-1.3362405163550075e-11,102400000,3.113242700000228,0.3043561000004047,4.696801199999754,stencil
heat,0.1,101,heat_r0.1,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.1000000746007357,0.7999998236893299,0.10000010170993445,0.3759087678875525,0.3374729329438622,0.28661829916858533,0.1,0.8,0.1,3.5262134032154613e-07,2.1678476180213528e-07,1.7631067017465085e-07,0.5699853730942189,0.7999998236893299,1.3554587424374517e-07,0.8,0.0,1.8368463656551848e-17,1.8368463656551848e-17,7.954612770867002e-06,1.7381658323142587e-17,6.337763107578287e-07,0.9999999999710174,12.551136159645296,-1.5570246421137188e-12,102400000,3.0988463999992746,0.3004214000002321,4.699367999999595,stencil
heat,0.1,102,heat_r0.1,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.09999939826221345,0.8000009359982697,0.09999966573951677,0.3949767396546139,0.24796647329165958,0.3570567870537267,0.1,0.8,0.1,1.8719965394625726e-06,1.161856787752771e-06,9.359982696688363e-07,0.6766317191188268,0.8000009359982697,1.3373927755871559e-06,0.8,0.0,7.255508839875513e-17,7.255508839875513e-17,5.393746225220626e-06,1.7263166707488165e-17,5.99664812634462e-07,0.9999999998790072,8.994601837824597,-9.220471258776561e-11,102400000,3.531277400000363,0.12119180000081542,3.8032153000003746,stencil
heat,0.1,103,heat_r0.1,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.10000002333428441,0.7999999235853773,0.10000005308033834,0.27566034630868175,0.41639382787156604,0.3079458258197522,0.1,0.8,0.1,1.5282924548110088e-07,9.592291548395946e-08,7.641462274055044e-08,0.47037402036695697,0.7999999235853773,1.487302128021014e-07,0.8,0.0,1.793856994377534e-17,1.793856994377534e-17,2.2168606612163384e-06,1.7409124149007642e-17,4.663938245285437e-07,0.9999999999615378,4.753194713769182,-1.1351904054974476e-12,102400000,3.5429003999997803,0.06370510000033391,3.8207597999999052,stencil
heat,0.1,104,heat_r0.1,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.09999964863467418,0.8000007844390105,0.09999956692631545,0.28469220677627904,0.3750865394997716,0.34022125372394935,0.1,0.8,0.1,1.5688780207884223e-06,9.624733604116138e-07,7.844390104150278e-07,0.5218897497545598,0.8000007844390105,-4.085433960457873e-07,0.8,0.0,2.888764291324447e-17,2.888764291324447e-17,4.30577065829927e-06,1.6418162953793646e-17,5.740087146013332e-07,0.9999999999496738,7.501228725207709,-2.1723502871796647e-11,102400000,3.3732636000004277,0.07399939999959315,3.65965259999939,stencil
heat,0.1,105,heat_r0.1,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.099999843155055,0.8000003725296297,0.09999978431531524,0.3344925908541331,0.3397072744568856,0.3258001346889814,0.1,0.8,0.1,7.450592594687722e-07,4.581468596636981e-07,3.725296296996916e-07,0.5637746617035524,0.8000003725296299,-2.9419924679499706e-07,0.8,0.0,2.3251280407856806e-17,2.3251280407856806e-17,3.2021653205383987e-06,1.8864164074551905e-17,5.962773347221787e-07,0.999999999961006,5.3702616788746225,-7.357509799563397e-12,102400000,3.3692573999996966,0.10361470000043482,3.640696499999649,stencil
heat,0.1,106,heat_r0.1,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.09999966483269987,0.8000006820734856,0.09999965309381459,0.3527701157774464,0.33395826029925346,0.3132716239233001,0.1,0.8,0.1,1.3641469711334064e-06,8.354072421836834e-07,6.82073485580581e-07,0.5714651521696871,0.8000006820734856,-5.869462657273732e-08,0.8,0.0,2.3391322830230843e-17,2.3391322830230843e-17,3.4059611007408735e-06,1.7787588792811664e-17,4.881476264502118e-07,0.9999999999520814,6.977317754566772,-1.147958882528593e-11,102400000,3.317954799999825,0.08574679999946966,3.5643843999996534,stencil
heat,0.1,107,heat_r0.1,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.10000000732981391,0.800000025527658,0.09999996714252807,0.2603396636271565,0.3452735819246609,0.39438675444818255,0.1,0.8,0.1,6.57149438337834e-08,4.224927166706217e-08,3.285747193770838e-08,0.5649322828642671,0.800000025527658,-2.0093645487876516e-07,0.8,0.0,1.9627831394892123e-17,1.9627831394892123e-17,1.3825212603328677e-05,1.8673754470061935e-17,6.444572970396508e-07,0.9999999999695436,21.45248826762762,-1.4804346684285352e-12,102400000,3.3370969999996305,0.09644240000034188,3.664587300000676,stencil
heat,0.1,108,heat_r0.1,cuda:0,NVIDIA GeForce RTX 4080 SUPER,0.09999944481274585,0.8000010618155565,0.09999949337169754,0.5003193721322279,0.2799585039813545,0.21972212388641757,0.1,0.8,0.1,2.1236311130989893e-06,1.3009063763456815e-06,1.0618155564801057e-06,0.6671072958928921,0.8000010618155566,2.4279604748799414e-07,0.8,0.0,3.593801596993788e-17,3.593801596993788e-17,4.7610623825653426e-05,1.8522816545823685e-17,5.957427901472924e-07,0.9999999999396753,79.91808648950372,-2.923274895338473e-11,102400000,3.362901999999849,0.07478739999987738,3.664107999999942,stencil
heat,0.1,109,heat_r0.1,cuda:1,NVIDIA GeForce RTX 5060 Ti,0.09999979061464619,0.8000004753418335,0.09999973404352044,0.29347567312808825,0.3611147128380483,0.34540961403386344,0.1,0.8,0.1,9.506836668310426e-07,5.835451431060029e-07,4.7534183345021574e-07,0.5387754727526537,0.8000004753418335,-2.828563009781619e-07,0.8,0.0,2.146606146872252e-17,2.146606146872252e-17,3.684074357357803e-06,1.7173260562131276e-17,5.035525792799984e-07,0.9999999999573708,7.316166194126217,-8.525030122797266e-12,102400000,3.3721403999998074,0.10983020000003307,3.722087800000736,stencil
