architecture,pde,statistic,term,coef,ci_lo,ci_hi,n_seeds
control,heat,centrality,intercept,8.42479589085084e-07,1.9653090549999468e-07,1.4940792717888167e-06,20
control,heat,centrality,slope,0.9999990125399422,0.9999979789543368,1.0000000593870353,20
control,lf,asymmetry,intercept,9.03680027218468e-05,7.373660643292953e-05,0.00010614154850359176,20
control,lf,asymmetry,slope,1.0010614305100833,1.0009635155987462,1.0011571932614254,20
ordinary,heat,centrality,intercept,0.3348427590888545,0.3320117827693056,0.337617112484017,20
ordinary,heat,centrality,slope,0.00018270272298773573,-0.003477446316102383,0.0038863905079130827,20
ordinary,lf,asymmetry,intercept,-0.055261890344759965,-0.12694196998424173,0.018943843658831658,20
ordinary,lf,asymmetry,slope,-0.45034308227284775,-0.67497507132284,-0.25587983714134804,20
