circulant_residual,locality,row_sum,row_sum_sd,coef_-1,coef_+0,coef_+1,stencil_rel_error,stencil_corr,pde,r,seed,input_step,r2_linearity,jacobian_spread,profile_key,n_grid,circulant_residual_j,reconstruction_status,fro_norm_j,circulant_component_norm_j,noncirculant_norm,fro_norm_j_minus_i,circulant_component_norm_j_minus_i,circulant_residual_j_minus_i,noncirculant_squared_norm_fraction_j_minus_i,update_norm_relative_to_j
0.0005040163800482,0.9799389243125916,0.9737336039543152,0.0004123399849049,0.0001250454370165,0.9908968210220336,0.0001226678868988,0.2923298738025837,0.9849571205275937,heat,0.1,100,0,0.9999968275165648,0.0028507835231721,heat_r0.1_seed100_step0,64,0.0005040163800482,ok,7.9272135396334145,7.927212532748368,0.003995445472115111,0.07695071232295957,0.0768469162848467,0.05192213758004423,0.002695908370881041,0.009707157746947496
0.0005794051597015,0.986357569694519,0.9887802600860596,9.21894534258172e-05,-0.0002888429444283,0.993672490119934,-0.0002834962797351,0.2954919527473605,0.9848042357732264,heat,0.1,101,0,0.9999995774451274,0.0011513520730659,heat_r0.1_seed101_step0,64,0.0005794051597015,ok,7.9494002750617385,7.949398940713695,0.0046059235359032944,0.053721483598965565,0.05352367016989154,0.08573708742459198,0.007350848160052129,0.006757929119193629
0.0005335603678999,0.9817277193069458,0.9761154651641846,0.0001872282737167,-0.0001976377679966,0.9925949573516846,-0.000189872313058,0.2943365989739143,0.9848743365204944,heat,0.1,102,0,0.9999998336756208,0.0020342532079666,heat_r0.1_seed102_step0,64,0.0005335603678999,ok,7.940793602020295,7.940792471701186,0.00423689275571112,0.06362773664703932,0.06348651518709775,0.0665887705422297,0.004434064362325717,0.008012767972064048
0.0004299617218578,0.9844690561294556,0.9854176044464112,0.0004360364691819,0.0001426428789272,0.9911488890647888,0.0001411945122526,0.2925500902910042,0.9849156764504422,heat,0.1,103,0,0.9999952938052328,0.0068608629517257,heat_r0.1_seed103_step0,64,0.0004299617218578,ok,7.929213380846285,7.92921264792098,0.0034092582382065765,0.07326007574943096,0.07318070549726603,0.04653637337022625,0.0021656340464531027,0.009239261479126938
0.0003361101282653,0.9900634288787842,0.9896404147148132,0.0001013676373986,-1.6850652173161507e-05,0.9935821890830994,-1.6937858163146302e-05,0.2951199267928415,0.9848695848060912,heat,0.1,104,0,0.999999466434532,0.0013144939439371,heat_r0.1_seed104_step0,64,0.0003361101282653,ok,7.948667572734822,7.948667123754248,0.0026716276774101317,0.052877019671685115,0.05280948413791855,0.050525307477583686,0.002552806695704374,0.006652312376612855
0.0003699458614406,0.9822654724121094,0.9769216775894164,6.808720354456455e-05,-8.853348845150322e-06,0.9917371273040771,-8.144801540765911e-06,0.2932917946965116,0.9849148605527658,heat,0.1,105,0,0.9999955168739472,0.0014586569741368,heat_r0.1_seed105_step0,64,0.0003699458614406,ok,7.933924685811089,7.933924142892841,0.0029351226024972254,0.0693442513891434,0.06928210631922954,0.042326833785053315,0.001791560858267531,0.008740220525808319
0.0006065218182385,0.974677324295044,0.9655293226242064,0.0006552318809553,-0.0001251564972335,0.99041348695755,-0.0001208472458529,0.2921235137543712,0.9849252420241592,heat,0.1,106,0,0.9999982361129393,0.0074852351099252,heat_r0.1_seed106_step0,64,0.0006065218182385,ok,7.923371389296657,7.923369931916293,0.004805697621615118,0.08299302475766192,0.08285377136132963,0.05790483761313274,0.003352970219003272,0.010474458495000453
0.0006607771966378,0.9843224883079528,0.9890877604484558,0.0002369679132243,-0.0001064366006175,0.9916639924049376,-0.000102187252196,0.2933189318319221,0.9848395891692456,heat,0.1,107,0,0.9999996872514472,0.0030622510239481,heat_r0.1_seed107_step0,64,0.0006607771966378,ok,7.9333416905284775,7.933339958574666,0.005242171282237192,0.07013808412845174,0.0699419079340667,0.07474072534739638,0.005586176025454939,0.008840925660896311
0.0005601402215513,0.9670581221580504,0.9558278918266296,0.0010501635260879,-5.991070065647364e-05,0.989666223526001,-6.246453995117918e-05,0.2913430892036665,0.9849770706812372,heat,0.1,108,0,0.9999933767365098,0.009485837072134,heat_r0.1_seed108_step0,64,0.0005601402215513,ok,7.91742630918144,7.917425067107112,0.004434868926940983,0.09144807264403092,0.09134047256232479,0.04849603494875253,0.0023518654057506265,0.011550227191629582
0.0003278284461162,0.9880329966545104,0.986267387866974,0.0002177166461478,5.112171493237838e-05,0.992924690246582,4.98057997901924e-05,0.2943984359648335,0.9848975779364604,heat,0.1,109,0,0.999992437398824,0.0049517857842147,heat_r0.1_seed109_step0,64,0.0003278284461162,ok,7.943408983690164,7.943408556845153,0.00260407542398861,0.0581887498327832,0.05813045155758216,0.04475221467159772,0.002002760718012766,0.00732541279849237
0.0005529114674033,0.987073540687561,0.9914005994796752,0.0001639713736949,-0.0001224142470164,0.9932184219360352,-0.000128202518681,0.2948756142024218,0.9848324385081648,heat,0.1,110,0,0.9999998330536928,0.0024531988892704,heat_r0.1_seed110_step0,64,0.0005529114674033,ok,7.945767085261272,7.945765870706618,0.0043933057387566515,0.057066324648785596,0.056896961901373985,0.07698595915884245,0.005926837907606957,0.007181978031377086
0.0003572480845313,0.9860279560089112,0.9857091307640076,0.0002217999717686,5.555702591664158e-05,0.9921444654464722,5.670296377502382e-05,0.2936214869561867,0.9848975273896764,heat,0.1,111,0,0.9999999050220316,0.0023136127274483,heat_r0.1_seed111_step0,64,0.0003572480845313,ok,7.937172024581227,7.937171518085683,0.0028355395023770638,0.06487041426115912,0.0648084127420573,0.043710827727438,0.0019106364606177627,0.008172988321313567
0.0004840175462241,0.9845703840255736,0.9850778579711914,0.0002370740403421,3.988052412751131e-05,0.9915362000465392,4.7659756091888994e-05,0.2930350516000282,0.9848938171046996,heat,0.1,112,0,0.9999986580410872,0.0046380697749555,heat_r0.1_seed112_step0,64,0.0004840175462241,ok,7.932311868094348,7.932310938931104,0.003839378126279333,0.07027066780248147,0.07016570336717329,0.054636995012928465,0.0029852012240427703,0.008858787825164423
0.0003549534446689,0.9855180382728576,0.9832462072372437,0.0003173508157487,-1.2910697478218935e-05,0.99226051568985,-1.2778315067407677e-05,0.2938088111900247,0.9848905315455384,heat,0.1,113,0,0.9999984748135272,0.0059707215987145,heat_r0.1_seed113_step0,64,0.0003549534446689,ok,7.938102136597816,7.938101636529326,0.00281765669751895,0.06418350845845745,0.06412163105202337,0.04390001053530235,0.0019272109249996573,0.008085497938171631
0.0004713619625335,0.9668700098991394,0.956574320793152,0.0005528277251869,-0.000297517661238,0.991153120994568,-0.0002988578635267,0.2930565706675104,0.9849203414385108,heat,0.1,114,0,0.9999950228573142,0.0058584176003932,heat_r0.1_seed114_step0,64,0.0004713619625335,ok,7.9293204072717876,7.9293195263952105,0.0037375800287285615,0.08076282481530103,0.08067629371553861,0.046278470784994793,0.0021416968581976165,0.010185340062842637
0.0005787154159586,0.9746924638748168,0.9654784202575684,0.0006357269012369,3.1073548598214984e-05,0.9898723363876344,3.1410978408530354e-05,0.2914299893166677,0.9849620290557802,heat,0.1,115,0,0.9999639226216002,0.0066121947020292,heat_r0.1_seed115_step0,64,0.0005787154159586,ok,7.919043630408488,7.919042304318858,0.0045828726285661505,0.08713760781703583,0.08701700968515226,0.05259350977581204,0.002766077270538437,0.011003551929229742
0.000544876304469,0.9702169299125672,0.9603238105773926,0.0002659928868524,-0.000265212584054,0.991302251815796,-0.0002666570071596,0.2931603353724267,0.9849141550003658,heat,0.1,116,0,0.9999951677966568,0.0048151360824704,heat_r0.1_seed116_step0,64,0.000544876304469,ok,7.930497644981548,7.930496467737996,0.004321140249397654,0.0781323533243697,0.07801277064012777,0.05530538970787506,0.003058686130739933,0.009852137510413634
0.0004685668357292,0.9761200547218324,0.9668881297111512,0.0005291929119266,1.566781065776013e-05,0.9910404086112976,1.5614228686899878e-05,0.2925941172031149,0.9849581431385784,heat,0.1,117,0,0.9999963588116056,0.0050331815145909,heat_r0.1_seed117_step0,64,0.0004685668357292,ok,7.928377772333926,7.928376901976865,0.0037149748852482313,0.07747127591945012,0.07738215268516085,0.04795293276324549,0.002299483760596343,0.009771390585068504
0.0003835094030196,0.9834305047988892,0.981909990310669,0.0003465104091446,1.405082548444625e-05,0.9916231036186218,1.56490714289248e-05,0.2931521660451436,0.984899771440686,heat,0.1,118,0,0.9999975966854158,0.0051662968471646,heat_r0.1_seed118_step0,64,0.0003835094030196,ok,7.933008538675973,7.933007955284637,0.0030423833688170113,0.06976540347696737,0.06969903461125697,0.04360876906304191,0.0019017247391937212,0.008794318465288239
0.0004223844838192,0.9824848175048828,0.9805560111999512,0.0001682663714746,0.0003159523766953,0.9902920126914978,0.0003202306106686,0.2915224561672084,0.9849764044029116,heat,0.1,119,0,0.9999977065884323,0.0043961000628769,heat_r0.1_seed119_step0,64,0.0004223844838192,ok,7.922363113650952,7.922362406941858,0.0033462832543877277,0.08037213463310232,0.08030244338663009,0.041634868473550746,0.0017334622728098696,0.010144969812683015
0.0007975251607099,0.9711645841598512,0.959147572517395,0.0004631625197362,-0.00041673326632,0.986933410167694,-0.0004142441612202,0.9832428531161304,0.8144001561378242,heat,0.25,100,0,0.9998632053201032,0.0020779420156031,heat_r0.25_seed100_step0,64,0.0007975251607099,ok,7.89554195865059,7.895539447684742,0.0062968933694645705,0.11002872055583708,0.10984838861379842,0.05722954277441625,0.003275220566168739,0.013935550103091575
0.0008646216910108,0.9724334478378296,0.969671368598938,0.0002110285131493,-0.0004213017818983,0.9854434132575988,-0.0004269915225449,0.9812849771767528,0.8142275601266245,heat,0.25,101,0,0.9999993339183436,0.0013120817020535,heat_r0.25_seed101_step0,64,0.0008646216910108,ok,7.883613668849329,7.883610722069608,0.006816343381636364,0.12086183307940648,0.12066946655313404,0.05639781565416116,0.0031807136105607456,0.015330765579872351
0.0007845029993423,0.9461710453033448,0.9291157722473145,0.0005695120198652,-0.0006287639844231,0.9865723848342896,-0.0006289713201113,0.9831092777800676,0.8146196758932097,heat,0.25,102,0,0.9999997483196448,0.0022756394464522,heat_r0.25_seed102_step0,64,0.0007845029993423,ok,7.8928141932456395,7.892811764448924,0.00619193640785268,0.12349344237956539,0.12333811346974684,0.05013979923582782,0.00251399946740912,0.015646313134451615
0.0010375408479728,0.960178554058075,0.9455844163894652,0.001292226021178,-0.0005849600420333,0.9839762449264526,-0.0005854663904756,0.9795986939690394,0.8143956454082779,heat,0.25,103,0,0.9999085761530042,0.0188042316585779,heat_r0.25_seed103_step0,64,0.0010375408479728,ok,7.871964123817723,7.871959886767273,0.008167484332237301,0.13733104560659154,0.1370879582132668,0.05947296400578255,0.0035370334476331066,0.01744558834955527
0.0006344007263604,0.9714754223823548,0.9591327905654908,0.0003201404761057,-0.0002619804290588,0.987989068031311,-0.0002607021306175,0.984429244781576,0.8145459350246376,heat,0.25,104,0,0.9999997330374388,0.0016555418260395,heat_r0.25_seed104_step0,64,0.0006344007263604,ok,7.903987738275131,7.903986147738598,0.0050142955623054385,0.10208554645887577,0.10196232459012067,0.049118565127389525,0.0024126334401736063,0.012915701521717398
0.0005268018006683,0.9625115990638732,0.947700023651123,0.000119721305964,-0.0003013427485711,0.9867571592330932,-0.0002994945971295,0.9828684957147502,0.8146509928002732,heat,0.25,105,0,0.9998700868385636,0.0040664584375917,heat_r0.25_seed105_step0,64,0.0005268018006683,ok,7.8941738140983295,7.894172718702153,0.004158664980055541,0.11429709252574781,0.11422141158917191,0.03638469612968252,0.0013238461124493344,0.014478664293104723
0.0010087576511642,0.9437605142593384,0.9216583967208862,0.0014594177482649,-0.0003142146160826,0.9807722568511964,-0.0003169481642544,0.97506166858778,0.8149069395877496,heat,0.25,106,0,0.999970891147606,0.022020723670721,heat_r0.25_seed106_step0,64,0.0010087576511642,ok,7.846475390960707,7.846471398704404,0.00791519208530322,0.168306815069555,0.16812059282880887,0.04702835165665849,0.0022116658595423334,0.02144998954096609
0.0008882109665371,0.9785059690475464,0.969101071357727,0.0009346373844891,-0.0001502987724961,0.9867830872535706,-0.0001437809987692,0.9826700530750802,0.8144922719392741,heat,0.25,107,0,0.9999819479150884,0.008789898827672,heat_r0.25_seed107_step0,64,0.0008882109665371,ok,7.894309760461425,7.894306646476431,0.007011812502482705,0.10904781363923549,0.10882214914679576,0.06430034925486897,0.004134534914298127,0.013813470328387723
0.0010566494953529,0.953752100467682,0.933861494064331,0.0015190917765721,-0.0002390879817539,0.9812697768211364,-0.0002439574018353,0.9755877465985408,0.8148111011407877,heat,0.25,108,0,0.9999849177970302,0.0241706743836402,heat_r0.25_seed108_step0,64,0.0010566494953529,ok,7.850375271564878,7.850370889059644,0.008295095069029913,0.16081191277963794,0.1605978290315334,0.05158259065294969,0.002660763658469773,0.02048461471162028
