pde,r,n_model_seeds,confidence_level,bootstrap_replicates,bootstrap_seed,resampling_unit,circulant_residual_j_mean,circulant_residual_j_ci_lower,circulant_residual_j_ci_upper,circulant_residual_j_minus_i_mean,circulant_residual_j_minus_i_ci_lower,circulant_residual_j_minus_i_ci_upper,noncirculant_squared_norm_fraction_j_minus_i_mean,noncirculant_squared_norm_fraction_j_minus_i_ci_lower,noncirculant_squared_norm_fraction_j_minus_i_ci_upper,update_norm_relative_to_j_mean,update_norm_relative_to_j_ci_lower,update_norm_relative_to_j_ci_upper
heat,0.1,20,0.95,20000,20260824,model seed within PDE-parameter condition,0.00047634061250568995,0.00043377009323968853,0.0005188532171640275,0.053806902788181996,0.0488087883275847,0.05958326640544052,0.0030467806205624276,0.0024431189430361476,0.0037705155518409023,0.008967581692366226,0.008370061640771689,0.009558126789540248
heat,0.25,20,0.95,20000,20260824,model seed within PDE-parameter condition,0.0008597889760900548,0.0008016294966814861,0.0009133809621129488,0.05447593633877797,0.05102145070540715,0.058242258186817664,0.0030349397881974474,0.002646063222464715,0.003474522922716078,0.015923745176885627,0.014959501762379904,0.016972687236011412
heat,0.4,20,0.95,20000,20260824,model seed within PDE-parameter condition,0.0012027325836002551,0.0010821610741475877,0.0013220895837147727,0.055978673231038556,0.050593773285759654,0.061833207009466803,0.0032949853447719647,0.0026541533537917912,0.004019112280883429,0.02156659683707655,0.0203957449953549,0.022867433001849336
lf,0.1,20,0.95,20000,20260824,model seed within PDE-parameter condition,0.00191282272377573,0.0017197705616557293,0.00210801782947994,0.07271082618659953,0.06522217982670389,0.08054743801012479,0.005589800144662991,0.004504389810555681,0.006779732900848442,0.026513742268298647,0.025221745803035284,0.027875624521350124
lf,0.25,20,0.95,20000,20260824,model seed within PDE-parameter condition,0.00279684921992223,0.0023516510245698554,0.0033126209795669975,0.07331012822385977,0.061333188104986426,0.08699352429573982,0.006254035188433508,0.004074857236412166,0.00895726024903186,0.038400502427295105,0.0372265701535167,0.039526034012693306
lf,0.4,20,0.95,20000,20260824,model seed within PDE-parameter condition,0.0035046485935078696,0.0031078211389997724,0.0039748656886084395,0.07017556481733354,0.06265749800589678,0.07788259748211114,0.005234958452583345,0.00414060548351341,0.006445886935379845,0.05000755581275214,0.04777276332879135,0.05205429335082255
