pde,r,seed,layer,head,is_baseline,entropy,peak,window_mass,d_stencil,d_acf,d_spectral,spectral_kmax,z_stencil,z_acf,z_spectral,label,best_z,gate_threshold,floor_threshold
heat,0.1,100,0,0,False,0.999749260908054,0.01660151034593582,0.13615493942052126,0.37561558096529035,0.00016297104238032802,0.012032706633838815,5,-1.586126985866644,-1.583252129222519,-1.7175370368310936,ungated,-1.7175370368310936,0.9996723626647342,-1.9623789704203023
heat,0.1,100,0,1,False,0.9801419843421524,0.026923231780529022,0.23850556276738644,0.38121637078807635,0.0003418249704734669,0.013242160269641335,5,1.6544772446403255,0.7013991381529633,0.7762075100143526,no_fit,0.7013991381529633,0.9996723626647342,-1.9623789704203023
heat,0.1,100,0,2,False,0.9998785681096355,0.01665889471769333,0.14282864704728127,0.3805680340753479,0.00042686048072598836,0.013488102352319929,5,1.2793510998396047,1.787629048458169,1.2833098158523073,ungated,1.2793510998396047,0.9996723626647342,-1.9623789704203023
heat,0.1,100,0,3,False,0.9975295203547722,0.019879363477230072,0.1705396082252264,0.3746280547442546,0.00022169348224742192,0.011855605178524513,5,-2.15750740735748,-0.8331411414679076,-2.0826984414147307,no_fit,-2.15750740735748,0.9996723626647342,-1.9623789704203023
heat,0.1,100,1,0,False,0.9705955666168669,0.02312646061182022,0.042723959777504206,0.38946571439447863,0.0012636857502550296,0.01735586418705217,5,6.42752865982718,12.477100244224964,9.258158704921541,no_fit,6.42752865982718,0.9996723626647342,-1.9623789704203023
heat,0.1,100,1,1,False,0.926151518186246,0.03214625269174576,0.007336824026424438,0.4078279468897005,0.004778400112761084,0.02705193207191603,5,17.051874544666866,57.373495354880106,29.25025736662713,no_fit,17.051874544666866,0.9996723626647342,-1.9623789704203023
heat,0.1,100,1,2,False,0.9995010236334236,0.01756148412823677,0.14263042621314526,0.3851426179329847,0.00063960325072111,0.014753283304908896,5,3.926194897040452,4.505170923418928,3.8919572314251862,no_fit,3.8919572314251862,0.9996723626647342,-1.9623789704203023
heat,0.1,100,1,3,False,0.9156746364220155,0.045234061777591705,0.38598689809441566,0.36869852558975824,1.4160941779220676e-05,0.009409258209233188,5,-5.588319466185468,-3.4841283837241668,-7.126764814669431,acf_or_spectral,-7.126764814669431,0.9996723626647342,-1.9623789704203023
heat,0.1,100,2,0,False,0.9284228916012459,0.029286261647939682,0.010541890282183886,0.3977161836067586,0.0025639832252675335,0.021663879879658232,5,11.201231348010252,29.086890735968815,18.14075686589405,no_fit,11.201231348010252,0.9996723626647342,-1.9623789704203023
heat,0.1,100,2,1,False,0.9844706456861069,0.022856343537569046,0.07273721974343061,0.38039785356217143,0.0004434059962873916,0.01384461312144363,5,1.1808850426585524,1.9989787990605474,2.018391145203134,no_fit,1.1808850426585524,0.9996723626647342,-1.9623789704203023
heat,0.1,100,2,2,False,0.9991547874479868,0.018740225583314896,0.16357226483523846,0.3730802321017986,8.140610636577492e-05,0.011131697020214389,5,-3.0530740616909524,-2.6251494832577498,-3.575307970844897,acf_or_spectral,-3.575307970844897,0.9996723626647342,-1.9623789704203023
heat,0.1,100,2,3,False,0.9992201235679659,0.017946677282452583,0.1598307564854622,0.3789690608750734,0.0002852531633101914,0.012944114346080374,5,0.3541888492948764,-0.02124001387054138,0.16167349681385085,no_fit,-0.02124001387054138,0.9996723626647342,-1.9623789704203023
heat,0.1,100,3,0,False,0.8166202379125329,0.09287918359041214,6.605355065403273e-05,0.3114739998523529,0.00895701308405751,0.011536248418314939,5,-38.69829967628845,110.75042435233853,-2.7411727770120726,no_fit,-38.69829967628845,0.9996723626647342,-1.9623789704203023
heat,0.1,100,3,1,False,0.8983819281091102,0.04020436480641365,0.00023414907627739012,0.44791947845405555,0.024636818939311685,0.06256672280617967,5,40.24874336241626,311.041738618319,102.47738497550067,no_fit,40.24874336241626,0.9996723626647342,-1.9623789704203023
heat,0.1,100,3,2,False,0.8900599583162228,0.055618077516555786,0.0005750256132159848,0.3595175372239202,0.0057863279386104055,0.017031667031348757,5,-10.900418416502884,70.24860304359966,8.589704069534262,no_fit,-10.900418416502884,0.9996723626647342,-1.9623789704203023
heat,0.1,100,3,3,False,0.7839770912054288,0.10246573388576508,9.38174352995702e-05,0.4000113288215949,0.011369484847839596,0.0349400181741573,5,12.529197140007545,141.56695005795285,45.51452010494959,no_fit,12.529197140007545,0.9996723626647342,-1.9623789704203023
heat,0.1,101,0,0,False,0.9948658389177475,0.024483835324645042,0.20333635620772839,0.368170062683284,0.000341406136168318,0.009627376528509307,5,-5.894086899810491,0.6960490162055131,-6.677031684634234,no_fit,-6.677031684634234,0.9996723626647342,-1.9623789704203023
heat,0.1,101,0,1,False,0.5885676145103363,0.1569005697965622,0.3568026381544769,0.5821274231413873,0.11092175965673534,0.17761720662782032,5,117.9011543763102,1413.2316724218617,339.6973230938999,no_fit,117.9011543763102,0.9996723626647342,-1.9623789704203023
heat,0.1,101,0,2,False,0.9996420141131361,0.017513928934931755,0.13403965812176466,0.3790413853598702,0.00030390828788265487,0.012932707724030839,5,0.39603563141266473,0.21705754241981534,0.13815444598634105,no_fit,0.13815444598634105,0.9996723626647342,-1.9623789704203023
heat,0.1,101,0,3,False,0.994441121865546,0.022971132770180702,0.1936577707529068,0.3845941355330539,0.0006469131447599239,0.014736072084038536,5,3.6088442301142796,4.598546332380926,3.8564698122141694,no_fit,3.6088442301142796,0.9996723626647342,-1.9623789704203023
heat,0.1,101,1,0,False,0.9983674450751677,0.019996024668216705,0.15445863641798496,0.3825793999554892,0.0007481369025340345,0.014133507166348104,5,2.4431228153511393,5.891562308897252,2.614055110956251,no_fit,2.4431228153511393,0.9996723626647342,-1.9623789704203023
heat,0.1,101,1,1,False,0.6566729348496247,0.14774847030639648,0.08835215889848769,0.6332831687467145,0.18337257207420252,0.26130712262485367,5,147.49975222922873,2338.706679746006,512.2556299735795,no_fit,147.49975222922873,0.9996723626647342,-1.9623789704203023
heat,0.1,101,1,2,False,0.9970309771252025,0.021615516394376755,0.18297972902655602,0.3696965682783894,7.674508500309508e-05,0.009960339553933932,5,-5.010854240504861,-2.684688619339599,-5.990502904717122,acf_or_spectral,-5.990502904717122,0.9996723626647342,-1.9623789704203023
heat,0.1,101,1,3,False,0.9340086627452103,0.04510854557156563,0.13585514947772026,0.43073154554343307,0.01057880479950237,0.03924510869109989,5,30.303844541676963,131.46693048454182,54.39108691371197,no_fit,30.303844541676963,0.9996723626647342,-1.9623789704203023
heat,0.1,101,2,0,False,0.9907718886517709,0.02189093455672264,0.08862062729895115,0.3821305996215103,0.0005221249825415387,0.014328408476553721,5,2.183447964667059,3.0045224492866422,3.015917625657601,no_fit,2.183447964667059,0.9996723626647342,-1.9623789704203023
heat,0.1,101,2,1,False,0.9987861203999859,0.017237432301044464,0.11715299263596535,0.378148908750432,0.0002927797829414794,0.013000889293078752,5,-0.12034930137084941,0.07490381289920449,0.27873645010407694,no_fit,-0.12034930137084941,0.9996723626647342,-1.9623789704203023
heat,0.1,101,2,2,False,0.9998312254473989,0.016589943319559097,0.14066954515874386,0.3783620719208941,0.00030080386534381666,0.01306463766149147,5,0.002986423383085843,0.1774021489742084,0.4101777401160127,ungated,0.002986423383085843,0.9996723626647342,-1.9623789704203023
heat,0.1,101,2,3,False,0.9998619291541094,0.016612347215414047,0.13528721407055855,0.37942226216322344,0.00034827614444349776,0.013370316678103213,5,0.6164100820351558,0.7838053952803745,1.040450251765297,ungated,0.6164100820351558,0.9996723626647342,-1.9623789704203023
heat,0.1,101,3,0,False,0.9538934013855639,0.02845771797001362,0.029955782927572727,0.38978469756775275,0.0012898591807662366,0.017464995298861582,5,6.612091597105629,12.811435429515686,9.483173626461152,no_fit,6.612091597105629,0.9996723626647342,-1.9623789704203023
heat,0.1,101,3,1,False,0.8577076829739234,0.07114122807979584,0.013348509441129863,0.1997830580035801,0.059573073196266674,0.016147679902593345,8,-103.32242415100374,757.311822907098,6.767031404324867,no_fit,-103.32242415100374,0.9996723626647342,-1.9623789704203023
heat,0.1,101,3,2,False,0.9063435798710308,0.03579837456345558,0.0026938801165670156,0.4068358111626479,0.0048840833285196655,0.027331449334833318,5,16.47782707349709,58.723475729353204,29.826587561944326,no_fit,16.47782707349709,0.9996723626647342,-1.9623789704203023
heat,0.1,101,3,3,False,0.9365250642148342,0.027487730607390404,0.010288042365573347,0.4070307472010354,0.004929048177812336,0.027233204713788383,5,16.590616621161736,59.29784947120555,29.62401924453616,no_fit,16.590616621161736,0.9996723626647342,-1.9623789704203023
