pde,r,condition,seed,input_step_index,reference_scope,evaluation_scope,weighting,n_modes,mode_min,mode_max,rmse_reference,rmse_identity,reference_advantage,fraction_modes_closer_reference,magnitude_rmse_reference,phase_mae_reference
heat,0.1,heat_r0.1,106,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.003360322453448289,0.010000393826636958,0.4969846851015013,1.0,0.003360089181697185,3.0915332427729656e-05
heat,0.1,heat_r0.1,106,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03903142902558498,0.00827107799835743,-0.6502900789520106,0.0,0.039031299277961895,7.828922301019773e-05
heat,0.1,heat_r0.1,106,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2793851528760595,0.00952537645856696,-0.9340600255691318,0.0,0.27938515153719934,1.7089492569852214e-05
heat,0.1,heat_r0.1,106,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24225324712298704,0.009491540143500898,-0.9245939489229343,0.15625,0.24225324349954883,2.4987254776427958e-05
heat,0.1,heat_r0.1,106,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0013565312894867232,0.004648003268460082,0.5481643826359869,1.0,0.0013560786719009333,3.0617503286400926e-05
heat,0.1,heat_r0.1,107,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.0024558152835987184,0.01086450909371193,0.631267946029623,1.0,0.002455727499257612,1.6917000622702526e-05
heat,0.1,heat_r0.1,107,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03845562581541392,0.009212978093604265,-0.6134571882495887,0.0,0.038455372775934735,0.000141283111555807
heat,0.1,heat_r0.1,107,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28057301340155355,0.008101333117453934,-0.9438721644985485,0.0,0.28057301318866396,8.17336201045273e-06
heat,0.1,heat_r0.1,107,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24327041544567624,0.00869623309976686,-0.9309731414854417,0.15625,0.2432704113730844,2.2018594563493723e-05
heat,0.1,heat_r0.1,107,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0010034540813661055,0.00494774320491674,0.6627723689554008,1.0,0.0010033994277347477,7.252059356917488e-06
heat,0.1,heat_r0.1,108,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.0038886800256234338,0.009503052096749672,0.41924166491849846,1.0,0.0038886340288284606,1.7033681110654047e-05
heat,0.1,heat_r0.1,108,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.038432200910060096,0.008787299814146969,-0.6278105579527162,0.0,0.03843211382584326,6.630743376385486e-05
heat,0.1,heat_r0.1,108,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.27862330922894074,0.01033914047030135,-0.9284395568970116,0.0,0.2786233089227148,7.513190647990964e-06
heat,0.1,heat_r0.1,108,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24158651879674392,0.010075864922225305,-0.919925538546301,0.15625,0.24158651711740872,1.451272757489431e-05
heat,0.1,heat_r0.1,108,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0015637629940769959,0.0044747400199716915,0.4820693173659522,1.0,0.0015636695619024724,1.5887814344958852e-05
heat,0.1,heat_r0.1,109,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.006554425123339483,0.007126863042292356,0.04184093719996845,0.8,0.006554402639979717,1.3145678389838593e-05
heat,0.1,heat_r0.1,109,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.04010814711543319,0.007177456472131485,-0.6964210699419289,0.0,0.04010813763372726,2.577410507391967e-05
heat,0.1,heat_r0.1,109,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2815520441693442,0.007106940679564471,-0.9507589158654846,0.0,0.2815520440400979,4.701585708279533e-06
heat,0.1,heat_r0.1,109,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24415402916634024,0.007116694870369841,-0.9433543649173383,0.125,0.24415402881422432,7.9965238803019e-06
heat,0.1,heat_r0.1,109,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.002601907253242463,0.0036712721536889233,0.1704661752961972,0.9722794641605221,0.002601886751494977,8.499589519990554e-06
heat,0.1,heat_r0.1,110,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.004250352431590677,0.009181359998573967,0.36711682092815967,1.0,0.004250309230479138,1.392279102304208e-05
heat,0.1,heat_r0.1,110,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.04076163284569458,0.007031971271761558,-0.705735886564236,0.0,0.04076149265172932,0.00010802833304297497
heat,0.1,heat_r0.1,110,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2820067739646078,0.006563641188766828,-0.9545092577471722,0.0,0.2820067735907049,1.0323285206792453e-05
heat,0.1,heat_r0.1,110,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24454949352725075,0.007079428765653396,-0.9437311998863731,0.15625,0.24454949089584244,2.0045556225223567e-05
heat,0.1,heat_r0.1,110,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017024477211627378,0.0043723594810354755,0.4395055959811549,1.0,0.0017024115153062556,4.617791333678653e-06
heat,0.1,heat_r0.1,111,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.005287902655969354,0.008284358019289664,0.2207779112865532,1.0,0.00528782127429655,2.554279109213728e-05
heat,0.1,heat_r0.1,111,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03968137384898833,0.007943197945400354,-0.6664243836272664,0.0,0.03968132648825154,5.283823800848839e-05
heat,0.1,heat_r0.1,111,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.280826786305144,0.007897464801698971,-0.9452940667683888,0.0,0.2808267862582535,3.180750910784578e-06
heat,0.1,heat_r0.1,111,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24351540362081853,0.007963422094991696,-0.9366672556043271,0.15625,0.24351540258062201,1.1330209104530669e-05
heat,0.1,heat_r0.1,111,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.002096816981334854,0.004078619399321884,0.32091698397130464,1.0,0.0020967561476631473,1.0961603708217549e-05
heat,0.1,heat_r0.1,112,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.0037895940999804647,0.009663734009836661,0.4366309854265529,1.0,0.003789489090808611,2.5893236354443705e-05
heat,0.1,heat_r0.1,112,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03910101781181753,0.008140897928803273,-0.6553527603113967,0.0,0.039100898779405445,7.283968536409131e-05
heat,0.1,heat_r0.1,112,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28028495782675766,0.008467158257413199,-0.9413534461860358,0.0,0.2802849577402973,5.284568065137146e-06
heat,0.1,heat_r0.1,112,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24303357895011835,0.008635659875032497,-0.9313729408063876,0.15625,0.24303357682410912,1.483796473211825e-05
heat,0.1,heat_r0.1,112,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0015034855173011845,0.0045700169783517664,0.5049033013891773,1.0,0.001503384545976978,1.6031500284875914e-05
heat,0.1,heat_r0.1,113,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.005211353881316568,0.008425765314553245,0.2357104449310823,1.0,0.005211325426838643,1.294327658111158e-05
heat,0.1,heat_r0.1,113,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03966807022150943,0.007590293927788999,-0.6787745803553517,0.0,0.03966806226461538,2.4744511423369432e-05
heat,0.1,heat_r0.1,113,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28100273719072105,0.007684998222687611,-0.9467590944819151,0.0,0.281002736947615,5.020516824825013e-06
heat,0.1,heat_r0.1,113,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24366712551654973,0.0077966860664391725,-0.937989597649393,0.15625,0.24366712508975635,8.10757253035833e-06
heat,0.1,heat_r0.1,113,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0020490015786255784,0.004176141381844685,0.3417013579810891,1.0,0.0020489421391946595,1.3756104126105174e-05
heat,0.1,heat_r0.1,114,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.004241117023322123,0.009153820982392898,0.36675824531436757,1.0,0.004241011120453173,2.6543208373253212e-05
heat,0.1,heat_r0.1,114,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03992650450002503,0.007174629101489441,-0.6953521687104892,0.0,0.03992650183530253,1.178748858307369e-05
heat,0.1,heat_r0.1,114,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2802258725755349,0.008598680986845814,-0.940457410003484,0.0,0.28022587221370376,8.092710765708137e-06
heat,0.1,heat_r0.1,114,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24299622325447762,0.008565708621892713,-0.931899802501896,0.15625,0.24299622261167567,1.1321986437265075e-05
heat,0.1,heat_r0.1,114,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017223915208689452,0.004321768042728206,0.4300641792309425,1.0,0.0017222975528058781,1.4124353020165176e-05
heat,0.1,heat_r0.1,115,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.003163246530851948,0.010155470835328407,0.5249923181215267,1.0,0.0031628626951925526,4.06160156046172e-05
heat,0.1,heat_r0.1,115,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03861924034240243,0.008487838487783502,-0.63963639017478,0.0,0.03861921319814271,3.701798066745219e-05
