pde,r,seed,checkpoint,validation_path,test_path,n_validation_pairs,n_test_pairs,n_layers,n_heads,head_dispersion,patched_noop_max_abs,mse_original,mse_persistence,skill,target,substitution,preserves_head_identity,calibration_split,evaluation_split,mse,excess,ratio
lf,0.1,309,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_309\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_309\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_309\test.npy,2048,2048,4,4,0.00905548622221368,5.960464477539063e-08,5.213440620183141e-09,3.460094831098104e-06,0.9984932665505794,all,original,True,none,test,5.213440620183141e-09,0.0,1.0
lf,0.1,310,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_310\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\test.npy,2048,2048,4,4,0.01083871647496275,1.1920928955078125e-07,5.2539597499012824e-09,4.401268142828485e-06,0.9988062622909122,all,frozen_per_head_validation,True,validation,test,1.404244337338545e-07,0.03074841625949706,26.72735240053808
lf,0.1,310,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_310\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\test.npy,2048,2048,4,4,0.01083871647496275,1.1920928955078125e-07,5.2539597499012824e-09,4.401268142828485e-06,0.9988062622909122,all,frozen_layer_mean_validation,False,validation,test,1.3614410401263655e-06,0.30850380000974187,259.12665968785655
lf,0.1,310,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_310\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\test.npy,2048,2048,4,4,0.01083871647496275,1.1920928955078125e-07,5.2539597499012824e-09,4.401268142828485e-06,0.9988062622909122,all,analytical_stencil,False,validation,test,6.49552779563578e-06,1.4763996578693155,1236.31091687709
lf,0.1,310,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_310\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_310\test.npy,2048,2048,4,4,0.01083871647496275,1.1920928955078125e-07,5.2539597499012824e-09,4.401268142828485e-06,0.9988062622909122,all,original,True,none,test,5.2539597499012824e-09,0.0,1.0
lf,0.1,311,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_311\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\test.npy,2048,2048,4,4,0.01110445328467191,5.960464477539063e-08,4.938085980919771e-09,3.7849367799935862e-06,0.9986953319783248,all,frozen_per_head_validation,True,validation,test,2.322628247664743e-07,0.060138840562465226,47.034990007041735
lf,0.1,311,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_311\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\test.npy,2048,2048,4,4,0.01110445328467191,5.960464477539063e-08,4.938085980919771e-09,3.7849367799935862e-06,0.9986953319783248,all,frozen_layer_mean_validation,False,validation,test,3.691248549930748e-06,0.9752147453883421,747.505929259501
lf,0.1,311,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_311\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\test.npy,2048,2048,4,4,0.01110445328467191,5.960464477539063e-08,4.938085980919771e-09,3.7849367799935862e-06,0.9986953319783248,all,analytical_stencil,False,validation,test,9.95870275311006e-06,2.6332719857537037,2016.7131134592246
lf,0.1,311,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_311\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_311\test.npy,2048,2048,4,4,0.01110445328467191,5.960464477539063e-08,4.938085980919771e-09,3.7849367799935862e-06,0.9986953319783248,all,original,True,none,test,4.938085980919771e-09,0.0,1.0
lf,0.1,312,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_312\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\test.npy,2048,2048,4,4,0.007562128806546635,5.960464477539063e-08,6.841871178549924e-09,5.255679297988536e-06,0.998698194697464,all,frozen_per_head_validation,True,validation,test,4.5691813427457817e-07,0.08574780022660464,66.78262749334868
lf,0.1,312,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_312\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\test.npy,2048,2048,4,4,0.007562128806546635,5.960464477539063e-08,6.841871178549924e-09,5.255679297988536e-06,0.998698194697464,all,frozen_layer_mean_validation,False,validation,test,1.8318191703503572e-06,0.34769171737920423,267.73657710676093
lf,0.1,312,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_312\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\test.npy,2048,2048,4,4,0.007562128806546635,5.960464477539063e-08,6.841871178549924e-09,5.255679297988536e-06,0.998698194697464,all,analytical_stencil,False,validation,test,0.00012061612414981937,22.978284993662278,17629.113586348307
lf,0.1,312,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_312\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_312\test.npy,2048,2048,4,4,0.007562128806546635,5.960464477539063e-08,6.841871178549924e-09,5.255679297988536e-06,0.998698194697464,all,original,True,none,test,6.841871178549924e-09,0.0,1.0
lf,0.1,313,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_313\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\test.npy,2048,2048,4,4,0.011007845202527013,5.960464477539063e-08,3.821078375584874e-09,3.090389554927242e-06,0.9987635609337688,all,frozen_per_head_validation,True,validation,test,8.510804306617603e-08,0.026335707536741807,22.273304732502105
lf,0.1,313,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_313\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\test.npy,2048,2048,4,4,0.011007845202527013,5.960464477539063e-08,3.821078375584874e-09,3.090389554927242e-06,0.9987635609337688,all,frozen_layer_mean_validation,False,validation,test,7.333532451303526e-07,0.23635703283337092,191.92310993047917
lf,0.1,313,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_313\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\test.npy,2048,2048,4,4,0.011007845202527013,5.960464477539063e-08,3.821078375584874e-09,3.090389554927242e-06,0.9987635609337688,all,analytical_stencil,False,validation,test,7.350761855207111e-06,2.3802941138826106,1923.7401415724598
lf,0.1,313,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_313\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_313\test.npy,2048,2048,4,4,0.011007845202527013,5.960464477539063e-08,3.821078375584874e-09,3.090389554927242e-06,0.9987635609337688,all,original,True,none,test,3.821078375584874e-09,0.0,1.0
lf,0.1,314,C:\projects\stencil-transformers\final_checkpoints\lax_friedrichs_r_0.1\seed_314\best_model.pt,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\val.npy,C:\projects\stencil-transformers\data\lax_friedrichs_r_0.1\seed_314\test.npy,2048,2048,4,4,0.007215312196313179,5.960464477539063e-08,7.798210414217133e-09,6.957278856134508e-06,0.9988791292435633,all,frozen_per_head_validation,True,validation,test,9.766832118930646e-07,0.13941833222825326,125.24453175980562
